date,py,px1,px2
4/1/2010,12.79,79.05,6048.30
11/1/2010,13.22,80.14,6040.50
25/1/2010,13.29,72.18,5631.37
1/2/2010,12.94,71.58,5654.48
8/2/2010,13.34,69.62,5484.85
22/2/2010,12.89,76.95,5688.44
1/3/2010,13.32,76.07,5713.51
8/3/2010,13.07,78.94,5875.91
15/3/2010,13.07,77.08,5903.56
22/3/2010,12.79,78.09,5987.50
29/3/2010,12.77,79.89,6156.85
12/4/2010,13.93,85.21,6250.69
19/4/2010,14.62,83.09,6162.44
26/4/2010,15.32,86.72,6332.10
3/5/2010,15.92,88.09,6166.92
10/5/2010,15.52,78.08,6017.91
17/5/2010,14.84,73.87,6066.92
24/5/2010,15.29,69.62,5805.68
7/6/2010,15.46,71.09,5904.95
14/6/2010,15.60,75.11,6125.00
21/6/2010,15.30,78.53,6292.97
28/6/2010,15.24,76.66,6157.22
12/7/2010,13.95,74.35,6077.19
19/7/2010,14.13,76.29,6009.11
26/7/2010,13.77,77.90,6194.21
2/8/2010,14.30,81.93,6292.13
9/8/2010,14.41,81.54,6351.60
16/8/2010,14.59,74.56,6110.57
23/8/2010,15.08,73.08,6010.91
30/8/2010,15.47,76.05,5912.41
13/9/2010,15.26,78.52,6261.68
20/9/2010,14.98,79.42,6294.58
27/9/2010,15.44,77.71,6278.89
4/10/2010,15.49,83.42,6134.21
11/10/2010,15.64,83.08,6309.51
18/10/2010,15.10,82.30,6516.63
25/10/2010,14.96,81.91,6639.21
1/11/2010,14.60,84.06,6604.86
8/11/2010,14.55,87.15,6750.50
15/11/2010,14.90,85.49,6790.17
22/11/2010,15.08,82.34,6822.05
29/11/2010,14.79,85.90,6697.97
6/12/2010,14.69,91.25,6954.38
13/12/2010,14.31,90.40,7029.39
20/12/2010,13.93,91.31,7018.60
27/12/2010,13.95,93.08,6970.73
3/1/2011,14.28,95.82,6989.74
10/1/2011,14.09,95.05,6857.06
24/1/2011,14.56,96.76,7067.77
31/1/2011,14.62,98.97,7077.48
7/2/2011,14.50,99.44,7283.62
14/2/2011,14.58,103.12,7396.63
28/2/2011,15.29,112.27,7272.32
7/3/2011,15.33,116.58,7161.93
14/3/2011,16.49,112.95,6866.63
21/3/2011,16.32,114.92,6816.12
28/3/2011,16.79,115.95,6938.63
16/5/2011,16.21,113.72,7387.54
23/5/2011,16.13,110.13,7121.52
6/6/2011,16.34,115.40,7084.57
13/6/2011,15.96,120.49,7085.14
20/6/2011,13.87,112.21,7150.21
27/6/2011,13.07,104.57,7107.90
11/7/2011,12.12,117.35,7230.25
18/7/2011,12.60,117.05,7107.92
25/7/2011,12.48,118.27,7344.54
1/8/2011,11.32,116.37,6953.98
8/8/2011,11.59,103.06,5923.27
15/8/2011,12.39,108.89,6022.24
22/8/2011,12.85,108.83,5473.78
12/9/2011,12.04,114.75,5072.33
19/9/2011,11.56,112.89,5415.91
26/9/2011,10.75,107.90,5345.56
3/10/2011,10.29,103.61,5376.70
10/10/2011,10.56,109.49,5847.29
17/10/2011,10.24,112.92,5859.43
24/10/2011,10.38,111.67,6055.27
31/10/2011,9.73,108.43,6141.34
7/11/2011,9.98,114.75,5928.68
14/11/2011,9.79,112.57,5985.02
21/11/2011,8.41,105.98,5606.00
28/11/2011,8.01,109.38,5745.33
5/12/2011,7.46,110.18,6106.09
12/12/2011,6.91,107.82,5785.43
19/12/2011,7.86,104.55,5670.71
9/1/2012,6.77,111.07,6017.23
23/1/2012,7.41,109.46,6436.62
30/1/2012,8.11,110.24,6444.45
6/2/2012,8.14,115.47,6764.83
13/2/2012,8.27,118.73,6738.47
27/2/2012,8.78,126.46,6849.60
5/3/2012,8.30,126.68,6866.46
12/3/2012,7.73,127.27,6901.35
19/3/2012,7.10,125.76,7154.22
26/3/2012,6.94,125.85,7079.23
2/4/2012,6.33,124.44,7056.65
16/4/2012,7.14,118.23,6625.19
23/4/2012,7.13,116.66,6523.00
30/4/2012,7.15,118.66,6761.19
14/5/2012,6.46,110.79,6451.97
21/5/2012,6.75,109.02,6331.04
4/6/2012,6.43,97.74,5978.23
11/6/2012,6.81,98.60,6141.05
18/6/2012,7.57,95.21,6248.20
25/6/2012,8.02,88.69,6132.39
2/7/2012,8.21,95.28,6496.08
9/7/2012,7.81,99.94,6387.57
16/7/2012,7.26,102.10,6565.72
23/7/2012,7.00,103.91,6419.33
30/7/2012,6.91,106.54,6774.06
